label,preprocessed,EventTime,People,Organisation,Location
665,Confusing Facebook Internet Perfect Storm Fake News,78 days 17:31:39.518526000,set(),set(),set()
666,Trump announces BILLION investment NASA bid return moon,78 days 17:31:03.518526000,"{Youngboy, NBA, Fired, Trump}",{NASA},set()
667,Tom Gates Live Stage review songs sketches schoolboy doodler,78 days 17:30:55.518526000,"{Tyson, Tom, Schwarz, Tom, Gates, Robert, Michelle}",set(),"{Vegas, Las}"
668,Furious Man Utd fans want Solskjaer sacked embarrassing Cardiff defeat caps disastrous season,78 days 17:30:50.518526000,"{Solskjaer, Cardiff, Utd, Pogba}","{Arsenal, Arsenal, Unai, Chelsea, Europa, League, Cardiff, Utd, Solskjaer, Emery, Baku, United, Brits}",set()
669,Construction underway site planned Meijer store Sycamore,78 days 17:30:44.518526000,"{Meijer, Sycamore}",set(),set()
670,IHOP Traumatized Internet Mother Day Tweet Pancake Filled Womb,78 days 17:30:43.518526000,"{Ferry, Ferdinand}","{IHOP, Ihop, Porsche, Traumatized}",set()
671,Inside Man City dressing room Noel Gallagher joins Premier League title celebrations,78 days 17:30:43.518526000,"{Noel, Dry, Gallagher, Mark}",set(),set()
672,Terrified girl injured dive bombing SEAGULL tried steal Gregg pasty mouth,78 days 17:30:29.518526000,set(),"{Palace, Crystal, Bournemouth}",set()
673,Watch ranking NBA buzzer beaters time,78 days 17:30:25.518526000,set(),"{Getafe, NBA, Champions, League, Barcelona}",set()
674,Eastmain Drills m g t Au Near Surface Eastward Step Hole Percival Discovery Clearwater Property,78 days 17:30:25.518526000,"{Frankie, Benny}",set(),{Toronto}
675,Scots comic book legend Mark Millar launch community cafe Coatbridge regenerate town free day,78 days 17:30:07.518526000,"{Mark, Millar}","{Pikachu, DeKalb}",{Coatbridge}
676,breathe New York police officer faces disciplinary trial unarmed man death,78 days 17:29:31.518526000,set(),"{Depot, New, Greeley, Home}",set()
677,WATCH die brain tells dead,78 days 17:27:15.518526000,"{Google, AI}",set(),set()
678,Novak Djokovic eyes Paris beating Stefanos Tsitsipas win Madrid Open,78 days 17:27:08.518526000,"{Novak, Roland, Nadal, Djokovic, Rafael, Tsitsipas, Stefanos, Tsitsipas, Stefanos, Djokovic, Novak}",set(),"{Madrid, Madrid, Madrid}"
679,Britain new envoy Israel job wanted,78 days 17:26:59.518526000,{Grammy},set(),"{Britain, Manitoba, Israel}"
680,Bros singer Luke Goss SPLITS wife Shirley Lewis years,78 days 17:26:59.518526000,"{Bros, Luke, Murphy, Goss, Schrinner, Shirley, Chandler, Lewis, Ryan}",set(),set()
681,Mr Motivator TV reality stars Instagram influencers save Brits obesity,78 days 17:26:57.518526000,"{Tyler, Creator}",{Instagram},set()
682,Welcome Ibrox Rangers post video Jon Flanagan cementing Celtic ace Tom Rogic,78 days 17:26:54.518526000,"{Pelton, Jon, Steve, Rogic, Tom, Flanagan}","{Celtic, Ibrox, Rangers, Thompson, Rangers, Flanagan}",set()
683,BAFTA TV Awards best dressed guests Jodie Comer Phoebe Waller Bridge,78 days 17:26:54.518526000,"{Baker, BAFTA, Comer, Phoebe, Norton, Jodie, Danny, Graham, Waller, Bridge}",set(),set()
684,Coteau people right repair electronic devices,78 days 17:26:47.518526000,set(),set(),set()
685,Jodie Comer won Bafta TV award role Villanelle Killing Eve given away season spoilers,78 days 17:26:43.518526000,"{Alain, Delon}","{Bafta, TV, Awards, Comer, Villanelle, Bafta, TV}",{Britain}
686,Rossouw innings helps Hampshire reach Day Cup final,78 days 17:26:17.518526000,"{Rossouw, Hampshire, Buck, Woz}",set(),set()
687,Posthaste Onex swoops buy WestJet Corporate Canada wish list China defiance,78 days 17:26:14.518526000,set(),"{Onex, London, Canada, Corporate, WestJet}","{China, Israel}"
688,Election Njeru protest vote LSK bosses,78 days 17:26:00.518526000,"{Sotto, Njeru, Atienza, Vico}","{Trump, LSK}",{Laguna}
689,John Beilein reportedly agrees Cavaliers assume head coach roal,78 days 17:25:18.518526000,"{John, Beilein, Cavaliers, Alexis, Sanchez}",set(),set()
690,Ed Woodward Man Utd man man,78 days 17:25:11.518526000,"{Woodward, Roy, Ed, Buttler}",{Utd},set()
691,Rochelle Galindo resigns seat representative House District,78 days 17:25:07.518526000,"{Galindo, Rochelle}",set(),set()
692,Prep baseball Spartans fall short sharing conference title loss Morris,78 days 17:24:58.518526000,"{Tomey, Dick, Stadium, Silva, Hotspur}","{Spartans, CLUB, Morris, Juwan, Utica, Texas, Mitchell, Rock, JUCO, Falls, Tottenham, Garden}",{Texas}
693,Kyle Edmund losing streak continues fellow Brit Cameron Norrie progresses Rome,78 days 17:24:42.518526000,"{Cameron, Norrie, Bruce, Edmund, royal, Farhan, Zaidi, padrino, Kyle, Derek, del, Clooney, Io, Giants, George}","{Rome, Astoria, Waldorf, Resort, Cavalieri}",{Hollywood}
694,Uber competitor Eva launches Montreal,78 days 17:23:47.518526000,"{Elsa, Eva, Patton, Elsa}",set(),"{Montreal, Miami}"
695,Village councilor nabbed gun ban violation Batangas,78 days 17:23:45.518526000,set(),{FCA},{Batangas}
696,Eagles add Kessler QB mix source says,78 days 17:23:38.518526000,"{Josh, Okogie, Timberwolves}","{Kessler, Eagles, QB}",set()
697,Adani emails revealing pressure CSIRO spark calls review approval,78 days 17:23:37.518526000,set(),"{Travelex, Borno, Adani}",set()
698,Foster chair group artificial intelligence,78 days 17:22:44.518526000,set(),"{Health, BRODBECK, Winnipeg}",set()
699,Tony Blair says Deal Brexit spark silent revolution sweep away main parties,78 days 17:22:38.518526000,"{Chuan, Tan, Howlin, Jin, Blair, Brexit, Tony, Kananaskis}",set(),set()
700,Durrells episode unanswered questions family goodbye Corfu good,78 days 17:22:05.518526000,"{Doris, Corfu}",set(),set()
701,Farmer kept backpacker rape victim pig shed jailed,78 days 17:21:49.518526000,{Hunt},set(),set()
702,WWE Monday Night Raw Braun Strowman Money Bank Sami Zayn defeats Becky Lynch gets table Charlotte Lacey Evans,78 days 17:21:28.518526000,"{Gabrielle, Charlotte, Lacey, Becky, Lynch, Evans, Chisholm, Sami, Alba, Zayn, WWE, Union, Jessica}",set(),set()
703,Wrestler Silver King energy belied years death head spinning tragedy witness,78 days 17:21:19.518526000,"{Silver, Wrestler}",set(),set()
704,Double Master Degree boost career burning questions answered,78 days 17:20:58.518526000,set(),set(),set()
705,Screen Time Vs Real Life Balancing Act,78 days 17:20:06.518526000,set(),set(),set()
706,LiveHire boasts new milestone million Talent Community Connections,78 days 17:19:51.518526000,set(),"{Connections, Community, Talent}",set()
707,Teenage cancer fundraiser Stephen Sutton raised m death,78 days 17:18:57.518526000,"{Chatterley, Stephen, Sutton}",set(),set()
708,million children idea hundreds sitting secret savings account set government,78 days 17:18:37.518526000,set(),set(),set()
709,Contemplative peace,78 days 17:18:06.518526000,"{Serena, Tejpar}",set(),set()
710,Thousands Kenyan small scale farmers set left cold accessing China market Beijing stringent entry rules,78 days 17:17:58.518526000,set(),"{Kenyan, Metro, Thousands}","{China, Beijing}"
711,Kevin Maguire British child matters royal ones,78 days 17:17:58.518526000,"{Maguire, Waterford, Kevin, Clare}",set(),set()
712,Burger King launches delicious Chicken Fries long wait fans,78 days 17:17:57.518526000,"{Lincsfire, Esse}",set(),set()
713,Inside Dineo Moeketsi Solo star studded wedding,78 days 17:17:43.518526000,"{Johnny, Choi, Depp, Vans}",set(),set()
714,Liverpool fans love Mohamed Salah reaction sharing Golden Boot,78 days 17:17:27.518526000,"{Frank, Beilein, John, Cavaliers, Vogel}",set(),set()
715,Man City fan screams f Scouse Sky News camera dad holding kid gives interview,78 days 17:16:46.518526000,set(),"{Somerset, House}",set()
716,SIMMONS victory celebrate moment cherish Raptors,78 days 17:16:11.518526000,"{SIMMONS, Simmons, Steve}",set(),set()
717,Windsor Facchineri scores crucial shootout winner Canada soccer team,78 days 17:16:10.518526000,set(),"{Windsor, Facchineri, Canada, Leeds, Championship, Derby}",set()
718,Boots Christmas advert TV,78 days 17:16:07.518526000,"{Endgame, Avengers, Pikachu}","{Box, Office}",set()
719,Report Big projects need tribal input,78 days 17:16:01.518526000,set(),set(),set()
720,Hilarious video drunk man struggling cast vote leave stitches,78 days 17:15:38.518526000,set(),set(),{Frankfurt}
721,Newly surfaced recording details pilots pressed Boeing Lion Air crash requested FAA records,78 days 17:15:38.518526000,set(),"{Elk, Boeing, Island, FAA}",set()
722,Singer Sarah McTernan stuns white gown team Ireland arrive orange carpet Eurovision opening ceremony,78 days 17:15:23.518526000,"{Ireland, Sarah, McTernan}",{Vans},set()
723,Indies anxiety dead bank holidays,78 days 17:15:16.518526000,set(),"{Cathedral, Paul, St}",{Maine}
724,Conservative MPs fury party produces election leaflet urging voters lobby Brexiteer MPs oppose Theresa deal,78 days 17:15:05.518526000,"{Diretso, Brexiteer, Otso}","{Grace, Theresa}",{Belfast}
725,UAE says vessels subjected sabotage near Fujairah port,78 days 17:14:48.518526000,set(),"{UAE, Fujairah}",set()
726,Tony Hawk snapped sipping Buckfast Scots lad mum gives skateboarder minature,78 days 17:14:15.518526000,"{Museum, Lesley, Manville, Andy, Warhol}","{Scots, Hawk, Buckfast, Tony}",set()
727,TalkTalk named sponsor national Heart Breakfast,78 days 17:13:54.518526000,set(),"{TalkTalk, Heart, Breakfast}",set()
728,Mastering Social Media Spectacular Way,78 days 17:13:41.518526000,set(),"{Media, Social}",set()
729,Mansfield Town Newport County agg Mansfield win pens Matt Dolan scores winning spot kick win League play semi final,78 days 17:13:34.518526000,"{Ryan, Matt, Dolan}","{Mansfield, County, Newport, Town, Mansfield}",set()
730,Cristiano Ronaldo mocks Roma Alessandro Florenzi height,78 days 17:13:26.518526000,"{Rossi, Alves, de, Valverde, Daniele, Florenzi, Dani, Alessandro}","{LaLiga, Getafe, Barca, Neymar}","{Barcelona, Roma, Serie}"
731,Hedge funds vindicated trade war twists sank soybeans,78 days 17:13:20.518526000,set(),set(),set()
732,PHOTOS Hundreds pay tribute moms Clair Centre Arts,78 days 17:13:11.518526000,set(),"{Singapore, Street, Food, Arts, Netflix, Clair, Centre}",set()
733,Sealants glazes difference,78 days 17:12:35.518526000,"{Mick, Jagger}",set(),set()
734,People misunderstood timelines Takoradi girls CID boss,78 days 17:11:59.518526000,set(),set(),set()
735,BAFTA TV Awards Tess Daly mortified Graham Norton Strictly snog scandal dig,78 days 17:11:59.518526000,"{Graham, Norton, Tess, Bowditch, Daly, Clare, Nicola, Coughlan}","{TV, BAFTA}",set()
736,Mum raped old son friend came house sports lessons,78 days 17:11:58.518526000,set(),set(),set()
737,Dramatic moment cops ram moped thug exposed Amanda Holden road,78 days 17:11:57.518526000,"{Holden, Amanda, Ramaphosa, SA}","{Brisbane, City, Council}",set()
738,pics emerge Iranian sabotage attack Gulf oil tankers military launches urgent investigation,78 days 17:11:52.518526000,set(),"{Emirati, Iran, UAE, Fujairah}",set()
739,Digiday Research clients leave agencies,78 days 17:11:46.518526000,set(),set(),set()
740,WATCH cute Legoland unveils royal baby scene,78 days 17:11:44.518526000,"{Joe, Biden}",set(),"{Legoland, Carolina, South}"
741,Father Bride,78 days 17:11:17.518526000,set(),set(),set()
742,Mr Porter Japan Edit Exclusive designs Wacko Maria x Fragment Blackmeans Human Japanese brands,78 days 17:11:17.518526000,"{Victoria, Geordie, Albert, Ginsburg, Ottawa, Chloe, Spencer, English, Porter, Maria, Ferry, Prince, Shore}",set(),{Japan}
743,Foreign Secretary Jeremy Hunt hints increase defence budget PM Tory leadership race,78 days 17:11:07.518526000,"{Jeremy, Tory, Hunt}",set(),{Manchester}
744,Saracens Mark McCall demands team complete double European title success,78 days 17:10:42.518526000,"{Saracens, McCall, Mark}",set(),set()
745,Apply standard covers harassment work maids,78 days 17:08:58.518526000,set(),set(),set()
746,Papal aide act humanity irks Italy hard right leader,78 days 17:08:44.518526000,"{Germany, Macron}",set(),{Italy}
747,Hours,78 days 17:08:12.518526000,set(),set(),set()
748,Reds fans upbeat City faithful rejoice,78 days 17:08:10.518526000,set(),"{Blue, Giants, Deck, Jays}",set()
749,Peter Lim eyes bigger things newly promoted Salford City football club,78 days 17:07:45.518526000,"{Ayres, Andy, Lim, Peter}",set(),{Salford}
750,Postmates Square Team Enable Demand Delivery,78 days 17:06:59.518526000,set(),"{Delivery, Demand, Enable, Team, Square, Postmates}",set()
751,Apple surprise defeat Supreme Court bad news Tim Cook turnaround plan,78 days 17:06:58.518526000,"{Tim, Cook, Cook, Tim}","{Mountbatten, Court, Apple, Supreme, Community, Club}",set()
752,sunspots tell climate change,78 days 17:06:58.518526000,set(),set(),set()
753,Red Dead Redemption sales reach million momentum slows,78 days 17:06:28.518526000,set(),"{Dead, Red, NTUC}",{Australia}
754,Kemar Roofe says Leeds disappointment missing automatic promotion,78 days 17:06:24.518526000,set(),"{Leeds, Kemar, Roofe}",{China}
755,Fighting fake news legislation,78 days 17:06:24.518526000,set(),{Congress},set()
756,Massachusetts man accused attacking hikers Appalachian trail machete,78 days 17:05:58.518526000,set(),"{Bank, GOP, Appalachian, Massachusetts, Trail, Appalachian, Suruga, Parq, Casino, Appalachian, Shinsei, Trail}",set()
757,Super Junior healthy happy,78 days 17:05:00.518526000,set(),set(),set()
758,Grab chance real change courage,78 days 17:04:41.518526000,set(),set(),set()
759,Relook foreign worker policy,78 days 17:04:21.518526000,set(),"{LT, Group}",set()
760,latent TB treatment prevention,78 days 17:03:45.518526000,set(),set(),set()
761,Migrants Greeks Samos share anger despair,78 days 17:03:29.518526000,set(),set(),set()
762,animal lovers place feed birds,78 days 17:03:19.518526000,set(),set(),set()
763,rid black flies house plants gardening expert Helen Yemm,78 days 17:03:06.518526000,"{Helen, Yemm}",set(),set()
764,luxury home rentals Asia Marriott,78 days 17:02:41.518526000,set(),"{Asia, TUI, Marriott}",set()
765,Focus China trade tensions,78 days 17:02:30.518526000,set(),{Apple},{China}
766,Singapore stocks STI resumes Tuesday afternoon day,78 days 17:02:23.518526000,set(),"{Singapore, Easter, STI, Colombo}",{Singapore}
767,Chickens kicked abused farms supplying Nando Asda Lidl,78 days 17:01:45.518526000,"{Nando, Lidl}","{Nando, Asda, Asda}",set()
768,grassland wasteland Victoria breaks promise create environmental reserve,78 days 17:01:34.518526000,"{Victoria, Crossbow}",set(),set()
769,Billy Lee Sunday Game Criticism Cork Big Problem Man Weave,78 days 17:01:30.518526000,"{Rob, Lee, Lowe, Billy}",set(),set()
770,Mark McCall ensures Saracens dominance set run run,78 days 17:01:22.518526000,"{McCall, Mark}","{Serie, Liverpool, Wembley, Reds, Green, Forest}",set()
771,inaugural Kaaboo Texas festival pretty awkward music good,78 days 17:01:05.518526000,set(),set(),{Texas}
772,smart service helping mature Aussies save health insurance,78 days 17:01:03.518526000,set(),set(),set()
773,eyes Uber second day trading debut flop amid Trump trade war Lyft drag,78 days 17:00:39.518526000,set(),set(),set()
774,Islamic leader charged murder hire plot,78 days 17:00:24.518526000,set(),set(),{Kentucky}
775,rules remember voting,78 days 17:00:17.518526000,set(),{Palace},set()
776,Advertising Prescription Drug Prices Step Right Direction,78 days 17:00:12.518526000,set(),"{Thomson, Medical}",set()
777,Milano finishes regular season win Trieste LegaBasket Day Recap,78 days 17:00:01.518526000,"{Trieste, Milano}","{Recap, Day}",set()
778,time cut pension allowances condition,78 days 16:59:53.518526000,set(),set(),set()
779,Millions Voters Turnout Philippine Midterm Elections,78 days 16:59:48.518526000,set(),set(),set()
780,Stocks seen trading tight range,78 days 16:59:18.518526000,set(),set(),set()
781,Kristaps Porzingis jumped outside nightclub Latvia Mavericks,78 days 16:57:20.518526000,"{Mavericks, Trudeau, GOLDSTEIN}","{Porzingis, Kristaps, Month, Heritage, National}","{Latvia, Manila, Los, Cantantes}"
782,Yesterday den thieves,78 days 16:57:03.518526000,set(),set(),set()
783,Future Design Week Virgil Abloh skater Alex Olson making DJ debuts Bali Potato Head,78 days 16:56:58.518526000,"{Luc, Berger, Jean, Edward, City, Virgil, Man, Sane, Leroy, Picard, Yaya, Alex, Scot, Abloh, Wick, Toure, DJ, John, Olson}",set(),set()
784,Hope Center suicide prevention Hopeline available anytime,78 days 16:56:58.518526000,set(),"{Hopeline, Hope, Workplaces, Center}",set()
785,ways avoid sun damage,78 days 16:56:58.518526000,set(),set(),set()
786,Rap China holding auditions LA travel Australia Malaysia find talent,78 days 16:56:58.518526000,set(),"{Golf, Digest, Australia, Malaysia, China, Ownership, LA, Magazine, Discovery, Live, Print}",set()
787,Vote buying mars midterm elections,78 days 16:56:58.518526000,set(),set(),set()
788,Editorial cartoon,78 days 16:56:58.518526000,set(),set(),set()
789,fire referee dropped Waratahs seek Super revenge Reds,78 days 16:56:58.518526000,"{Emery, Arsenal, Unai}",set(),set()
790,line forgotten war Yemen child dies minutes,78 days 16:56:58.518526000,set(),set(),{Yemen}
791,Eden Hazard EXCLUSIVE Chelsea ace frustrated Real Madrid transfer force,78 days 16:56:58.518526000,"{CHAN, Botswana, Real, eSwatini}",set(),{Madrid}
792,Christians prepare shunned beliefs Mike Pence warns reaffirms Trump administration anti abortion stance,78 days 16:56:58.518526000,"{Mike, Pence}","{Party, Brexit, Conservatives}",set()
793,Seungri court arrest warrant come Tuesday afternoon,78 days 16:56:58.518526000,"{Paul, Vatican}",set(),{Zamboanga}
794,Premier League table look games finished half time,78 days 16:56:54.518526000,set(),"{League, League, Premier, Premier}",set()
795,Red Sox rout Mariners fifth straight victory,78 days 16:56:50.518526000,set(),"{Mariners, Red, Sox}",set()
796,Pathé Vendôme Sign Pact Pic Coda Sold Pathé Philippe Rousselet Patrick Wachsberger Croisette Cannes,78 days 16:56:45.518526000,"{Parc, Butanding, Jellyfish, Rousselet, Philippe, Vendôme, Komo, Pathé}",set(),set()
797,ANC won Rampahosa Wall Street Journal,78 days 16:56:39.518526000,set(),"{Journal, Street, Wall, Rampahosa, ANC}",set()
798,Kodak Black arrested Lil Wayne refused perform Rolling Loud festival,78 days 16:56:32.518526000,set(),"{Loud, Rolling, Wayne, Lil, Kodak}",set()
799,Rob Shaw Attorney general wants names public inquiry money laundering,78 days 16:56:21.518526000,"{Shaw, Rob}",set(),"{Queensland, Scotland}"
800,Facebook boosting wages Bay Area contractors content reviewers,78 days 16:56:21.518526000,set(),set(),set()
801,New Mexico driver fled said think,78 days 16:56:07.518526000,set(),set(),"{Mexico, New}"
802,Evening Standard Business Awards Social Enterprise Firm Year nominations,78 days 16:56:03.518526000,set(),"{Standard, Firm, Year, Social, Enterprise, Business, Awards}",set()
803,Flooded areas Gatineau peaked Pembroke vulnerable according river officials,78 days 16:56:02.518526000,set(),{Nissan},{China}
804,Centuries Old Skincare Remedies Add Current Beauty Routine,78 days 16:55:59.518526000,"{Vankyo, Review}",set(),set()
805,annual Tulip festival kicks bright flowers big crowds,78 days 16:55:39.518526000,set(),"{Riverwalk, Tulip}",set()
806,Uber underwater investors Uber big IPO led lot losers,78 days 16:55:18.518526000,set(),set(),set()
807,Leah Williamson relieved planning summer England World Cup nervous wait,78 days 16:55:11.518526000,"{Leah, Williamson}",set(),set()
808,stay Robertson vows Liverpool battle City,78 days 16:55:11.518526000,"{Robertson, Chelsea, Leicester}",set(),{Liverpool}
809,Manchester city tales contrast United rot Blues success comes fore,78 days 16:55:03.518526000,"{Arnautovic, United, Marko, Manchester}","{Red, Boston, Sox, Ham, West}",set()
810,dry damaged quiz locks love based hair type,78 days 16:54:58.518526000,"{Dyson, Absolute}",set(),set()
811,Euronext gets green light Oslo Bors end June,78 days 16:54:37.518526000,"{Yorkshire, Denzel, Malek, Sutcliffe, Talks, Ripper, Peter}","{Washington, Little}",set()
812,Domestic abuse place country defeat,78 days 16:54:28.518526000,set(),set(),set()
813,old injured intoxicated driver slams cars Pleasant Grove police,78 days 16:53:53.518526000,set(),"{Pleasant, Australia, Grove, Guardian}",set()
814,Possible delays mar polls,78 days 16:53:48.518526000,set(),set(),set()
815,rodeo NDP Opposition highlight labour laws education funding,78 days 16:53:34.518526000,"{Wimbledon, BBC}",set(),set()
816,Steve Clarke claims Kilmarnock need summer signings minimal changes,78 days 16:52:58.518526000,"{Bruce, Clarke, Steve, Kilmarnock, Alex}",set(),set()
817,grandma recipes meze best restaurants Crete,78 days 16:52:54.518526000,"{Crete, Jim, Duffy, Crab}",set(),set()
818,best New York City drag shows events,78 days 16:52:49.518526000,set(),"{FORBES, Wigan, City, Era, City, York, Pier, New}",set()
819,meaning Jesus,78 days 16:52:08.518526000,{Jesus},set(),set()
820,ODDS ENDS Firefighting goats offbeat offerings,78 days 16:51:58.518526000,set(),{Adidas},set()
821,Weather forecast alerts UVB index South African provinces,78 days 16:51:58.518526000,"{Jeremy, Corbyn}",set(),"{UK, Britain}"
822,winner Trump Iran sanctions Saudi Arabia,78 days 16:51:50.518526000,"{Trump, Iran}",{UAE},set()
823,Populist influence work,78 days 16:51:39.518526000,{Max},set(),set()
824,giving away free Slurpees day year people win,78 days 16:51:35.518526000,set(),set(),set()
825,Report picks divergence housing wealth,78 days 16:50:59.518526000,set(),set(),"{Turkey, Cyprus}"
826,Signal fault Kilmarnock Barrhead affecting train services,78 days 16:50:58.518526000,"{Kilmarnock, Barrhead}","{Residences, Woodleigh, Signal}",set()
827,Drogheda drug runner reveals feuding gang manic head gardai handle going,78 days 16:50:33.518526000,set(),{UOB},set()
828,Martin Lewis damns student loans misleading financially dangerous,78 days 16:50:32.518526000,"{Lewis, Martin}",set(),set()
829,Man fintech hub locked legal disputes Seoul Singapore,78 days 16:50:20.518526000,set(),"{Keppel, Seoul, Singapore}",set()
830,Butchers knives synthetic meats,78 days 16:50:13.518526000,set(),set(),set()
831,Market report Shell avoids rout amid gush oil price,78 days 16:50:05.518526000,set(),set(),set()
832,GSH Corp net profit dives higher cost sales finance expenses,78 days 16:49:51.518526000,set(),"{GSH, Corp, Volkswagen}",set()
833,Closures Charing Cross,78 days 16:49:09.518526000,set(),"{Cross, Closures, Lattice, Charing}",{UK}
834,Disclosures probes timely relevant adequate,78 days 16:48:37.518526000,set(),set(),set()
835,HKU chief vows zero tolerance sex harassment disturbing claims,78 days 16:48:17.518526000,set(),set(),set()
836,Police rescue kidnap victims arrest suspects,78 days 16:48:15.518526000,set(),set(),set()
837,New Report Shows Pro Iran Group Spread Fake News Online,78 days 16:47:54.518526000,set(),set(),set()
838,Money FM podcast Hot Seat Fighting financial crime misconduct,78 days 16:47:42.518526000,set(),set(),set()
839,football soars parasites,78 days 16:47:28.518526000,"{Manchester, Ferguson}",set(),set()
840,Episcopal School Dallas boys win fifth Division lacrosse championship Prosper boys win Division II state title,78 days 16:47:27.518526000,"{Bolton, Wanderers}","{School, Episcopal}",{Dallas}
841,West Indies stars ruled Lancashire League,78 days 16:47:23.518526000,set(),"{Premier, League, Lancashire, Brighton, Stadium, Etihad, League}","{Manchester, City}"
842,Malabu scandal Jonathan labels govt accusation recycled falsehood,78 days 16:46:59.518526000,{Jonathan},set(),set()
843,Peter Andre planning FIFTH child Royal baby inspired try,78 days 16:46:49.518526000,"{Obama, Peter, Michelle, Andre}",set(),set()
844,Monessen woman honored Mother Day high school diploma,78 days 16:46:44.518526000,set(),set(),{Monessen}
845,Love Island hunk Alex Beattie signs figure modelling deal following split Montana Brown,78 days 16:46:43.518526000,"{Beattie, Doris, Alex, Williams, Robbie, Banderas, Antonio, Day}","{Cetinay, Kem, Brown, Montana}",set()
846,Clean cooking fuel end drought hunger,78 days 16:46:40.518526000,set(),set(),set()
847,Man abandoned baby Gatwick Airport toilet tracks birth parents decades,78 days 16:46:33.518526000,set(),set(),set()
848,Danny Drinkwater Chelsea England player handed ban admitting drink drinking,78 days 16:46:16.518526000,"{Moore, Good}",set(),set()
849,Ireland bars Christian fundamentalist pastor entering country,78 days 16:46:13.518526000,"{Ireland, Lampard}",set(),set()
850,Matteo Guendouzi set double money Arsenal reward youngster pay rise week impressive debut season,78 days 16:46:11.518526000,"{Guendouzi, Matteo, Pauly}",set(),set()
851,schooled mishigas mean,78 days 16:45:59.518526000,{Tom},set(),set()
852,Geylang Serai Bazaar Tradition Keeps Times,78 days 16:45:24.518526000,set(),"{Times, Serai, Geylang, Bazaar, Tradition, Keeps, Serai, Bazaar, Tradition, Geylang}",set()
853,UV rays sun safe clothing protect sun damage fashion choices,78 days 16:45:20.518526000,set(),set(),set()
854,Best Halal Restaurants Break Fast Ramadan,78 days 16:45:00.518526000,set(),"{Bangkok, Ratchadamri, Dusit, Hotel, Suites}",set()
855,Believe Shania Twain Melissa Roxburgh Join Lionsgate Kingdom Studios Faith Based Drama,78 days 16:44:32.518526000,"{Sarah, McTernan, Shania}",set(),{Eurovision}
856,Coming soon Singapore Huawei gorgeous Amber Sunrise Pro,78 days 16:44:26.518526000,"{Beckham, David}","{Pro, Amber, Sunrise}",{Singapore}
857,Grimacing gorillas desperately try stay rain hilarious video showing like,78 days 16:43:30.518526000,set(),set(),set()
858,got access richest zip code island Miami average income million beaches sand imported Bahamas preferred mode transportation golf carts looks like,78 days 16:42:56.518526000,set(),"{Australia, Bahamas}","{Miami, China}"
859,Canada trashes Britain hockey worlds,78 days 16:42:38.518526000,set(),set(),"{Slovakia, Britain, Canada, Canada}"
860,Bystander left uneasy officer seen carbine rifle mall false,78 days 16:41:58.518526000,set(),set(),set()
861,Regulation innovation City looks cut waste single use plastics,78 days 16:41:26.518526000,set(),set(),set()
862,Inside Love Island stars Wes Nelson Jack Fowler Josh Denzel luxury Maldives getaway,78 days 16:41:08.518526000,"{Cannes, Seidl, Ulrich, Jones, Denzel, Eddie, Josh, Fowler, Jack, Nelson, Wes}","{Island, Love, Paris, Barclay, David, Ritz}",{Maldives}
863,Motocross rider cardiac arrest aided duty nurse,78 days 16:40:46.518526000,set(),set(),set()
864,George Smitherman promises candour new book,78 days 16:40:16.518526000,"{George, Dennis, Rodman, Hughes, Facebook, Smitherman, Chris}",set(),set()
865,Keith Gerein New health minister brings strong bloodline unassuming personality tough portfolio,78 days 16:39:58.518526000,"{Philip, Gerein, New, Green, Keith}",set(),set()
866,Russia linked disinformation efforts target EU elections,78 days 16:39:25.518526000,set(),set(),{Russia}
867,Supreme Court wo hear Tennessee death row inmates appeal,78 days 16:38:58.518526000,set(),"{Supreme, NYPD, Court}",{Tennessee}
868,SAISD Board Extends Superintendent Pedro Martinez Contract,78 days 16:38:58.518526000,"{Martinez, Pedro, Bosnian, Virgin}",set(),set()
869,Japan South Korea foreign ministers likely meet month Paris,78 days 16:38:53.518526000,set(),set(),"{Japan, Kingsville, Korea, South, Paris, Leamington}"
870,Inside ghost towns Fukushima,78 days 16:38:39.518526000,"{Mueller, Trump, McGahn}",set(),{Fukushima}
871,California merchant hatched plan nab thieves stole million jewels,78 days 16:38:34.518526000,set(),"{WA, Inside, Perth, CSI}",set()
872,ASX set open higher despite China impasse,78 days 16:38:30.518526000,set(),"{Straits, Times, ASX, China}",set()
873,Emocionante Niño afgano conmueve al mundo celebrando la nueva prótesis de su pierna,78 days 16:38:21.518526000,"{de, Detiene, y, le, Gendarmería, Maluma, descubre, Te, Sothers, Capítulo, Maule, que, Yamna, Por, de, Nada, Jesús, Metropolitana, al, saludo, Alguien, Susana, Rojo, Pulquerías, La, tierno, verdad, descubierto, Donoso, Capítulo, Devran, María, David, Caco, El, la, Milly}","{propuesta, Clásicos, Una, complica, la, Biobío, de, el, Una, Copa, televisión, El, que, América}",{Chile}
874,Josh Bell RBIs help Pirates win straight Cardinals,78 days 16:37:57.518526000,"{Josh, Bell, Steven, Gerrard, Rangers}",set(),set()
875,China defiant trade Kudlow urges strong enforcement steps,78 days 16:37:49.518526000,"{Xi, Twitter, Kudlow}",set(),{China}
876,Single vehicle crash leaves old man dead North Perth Ont,78 days 16:37:30.518526000,"{Aussie, Kleinmond}","{Perth, Ont, North, Gran}",{Thailand}
